AGE GROUP	TOTAL	MALE	FEMALE	UNSPEC	A	D	L	R	N	U	C	G	V
18 AND 19	6,991	3,373	3,546	72	310	663	55	1,503	929	3,512	2	14	3
20	5,953	2,905	2,986	62	266	559	164	1,183	774	2,989	1	13	4
21	8,215	4,037	4,068	110	311	956	265	1,630	1,089	3,934	2	26	2
22 THRU 24	26,829	12,940	13,481	408	842	3,210	768	5,663	3,495	12,707	3	74	66
25 THRU 34	100,824	49,790	49,937	1,097	2,885	13,177	2,621	22,722	13,190	45,365	13	544	307
35 THRU 44	88,392	44,870	42,972	550	2,726	11,854	1,399	25,388	11,522	34,755	7	492	248
45 THRU 54	99,976	50,699	48,789	488	3,257	14,179	1,246	30,524	15,600	34,503	8	384	275
55 THRU 59	49,738	25,320	24,218	200	1,493	8,458	566	13,050	10,180	15,653	6	202	130
60 AND 61	17,016	8,914	8,027	75	457	3,039	147	4,208	3,947	5,106	0	68	44
62 THRU 64	22,106	11,732	10,284	90	593	3,991	192	5,573	5,267	6,345	2	75	68
65 THRU 74	40,358	21,201	19,012	145	1,108	7,109	238	11,685	9,448	10,558	0	90	122
ABOVE 75	19,878	9,245	10,575	58	536	4,114	68	6,245	4,507	4,334	1	25	48
UNKNOWN	675	342	291	42	21	51	30	91	91	383	0	8	0
TOTAL	486,951	245,368	238,186	3,397	14,805	71,360	7,759	129,465	80,039	180,144	45	2,015	1,317
