AGEGROUP	TOTAL	MALE	FEMALE	UNSPEC	A	D	L	R	N	U	C	G	V	T	W
18 THRU 19	7678	3716	3698	264	259	788	140	1315	1061	4070	9	28	6	2	0
20	6392	3106	3016	270	251	583	114	1079	877	3456	9	18	5	0	0
21	7421	3673	3561	187	289	763	151	1508	1013	3659	12	22	4	0	0
22 THRU 24	26480	12964	13031	485	1057	2854	526	5404	3687	12834	24	66	28	0	0
25 THRU 34	106597	52894	52426	1277	3226	13074	2491	24125	15923	47091	72	355	239	1	0
35 THRU 44	90175	45828	43821	526	2989	11549	1489	23917	13655	35892	48	395	240	1	0
45 THRU 54	90955	46371	44157	427	2975	11891	1059	28545	14142	31788	44	308	202	1	0
55 THRU 59	49674	24959	24506	209	1729	7472	463	14504	9322	15910	21	148	104	1	0
60 THRU 61	19091	9667	9355	69	572	3195	164	5318	3967	5755	7	69	44	0	0
62 THRU 64	25820	13366	12364	90	748	4428	219	6654	6035	7591	7	85	53	0	0
65 THRU 74	52876	27849	24881	146	1473	9157	320	14570	12944	14145	16	121	130	0	0
ABOVE 75	23356	11147	12148	61	691	4382	81	7678	5268	5189	1	22	44	0	0
UNKNOWN	445	222	193	30	16	50	16	59	59	240	0	5	0	0	0
TOTAL	506960	255762	247157	4041	16275	70186	7233	134676	87953	187620	270	1642	1099	6	0
