AGEGROUP	TOTAL	MALE	FEMALE	UNSPEC	A	D	R	C	E	G	H	K	L	O	P	V	W	N	U
18 THRU 19	10336	5231	5043	62	272	941	1266	26	10	23	0	0	87	4	3	8	5	918	6773
20	8554	4387	4147	20	191	667	856	8	5	21	0	0	69	2	4	6	0	544	6181
21	9320	4760	4543	17	244	890	1223	18	7	23	0	0	104	3	2	11	4	751	6040
22 THRU 24	29276	14893	14275	108	884	3078	4489	48	13	102	3	3	423	6	4	24	7	2820	17372
25 THRU 34	120406	60706	59330	370	3468	14759	22566	149	44	348	11	0	2316	19	22	278	29	14106	62291
35 THRU 44	107755	55529	52024	202	3137	13202	24780	111	16	370	2	1	1829	14	20	307	28	14134	49804
45 THRU 54	88920	45804	42997	119	2843	10737	25718	85	23	260	2	1	944	2	11	209	7	11722	36356
55 THRU 59	49969	25749	24154	66	1525	6529	15352	35	7	127	1	0	390	5	7	112	7	7463	18409
60 THRU 61	19886	10182	9683	21	669	2782	5947	20	3	46	1	1	146	0	1	35	2	3227	7006
62 THRU 64	28605	14490	14075	40	877	4386	8148	18	3	72	0	0	197	2	6	56	3	5227	9610
65 THRU 74	67514	35119	32312	83	1892	11405	18267	36	7	141	0	1	375	5	4	113	4	14555	20709
ABOVE 75	31207	15129	16041	37	829	5289	10119	7	2	31	0	0	117	1	2	52	0	6620	8138
UNKNOWN	169	90	63	16	8	25	18	0	0	6	0	0	6	0	0	0	0	22	84
TOTAL	571917	292069	278687	1161	16839	74690	138749	561	140	1570	20	7	7003	63	86	1211	96	82109	248773
