AGEGROUP	TOTAL	MALE	FEMALE	UNSPEC	A	D	R	C	E	F	G	H	K	L	O	P	V	W	N	U
18 THRU 19	9179	4600	4527	52	365	796	1412	14	8	0	26	2	2	66	15	3	4	7	845	5614
20	8714	4443	4262	9	285	801	1101	13	13	0	16	1	1	72	3	3	5	5	617	5778
21	9574	4998	4572	4	319	973	1244	21	14	1	23	1	0	94	9	4	12	4	814	6041
22 THRU 24	30378	15672	14660	46	928	3302	4361	65	40	0	86	5	3	402	18	11	35	14	2655	18453
25 THRU 34	121108	61243	59672	193	3755	15184	21759	191	94	0	378	25	5	2234	59	43	272	30	13661	63418
35 THRU 44	115605	59741	55732	132	3479	14298	26083	142	43	0	352	15	5	1908	46	29	397	43	14875	53890
45 THRU 54	88272	45653	42538	81	2863	10631	24693	96	30	0	217	6	6	929	13	37	225	16	11396	37114
55 THRU 59	46696	24078	22585	33	1583	5912	14630	49	23	0	96	1	2	344	6	18	108	3	6417	17504
60 THRU 61	19958	10240	9700	18	657	2723	6232	17	1	0	46	0	0	134	3	5	43	3	3032	7062
62 THRU 64	28754	14764	13961	29	1039	4151	8700	32	8	0	66	2	0	168	4	5	51	2	4712	9814
65 THRU 74	72978	37464	35461	53	2444	12491	20545	38	12	0	141	1	4	362	8	16	128	10	14503	22275
ABOVE 75	34963	17043	17896	24	997	6079	11333	12	6	0	31	2	1	93	3	3	51	1	7280	9071
UNKNOWN	66	38	22	6	1	8	10	0	0	0	1	0	0	2	0	0	0	0	12	32
TOTAL	586245	299977	285588	680	18715	77349	142103	690	292	1	1479	61	29	6808	187	177	1331	138	80819	256066
