"Race Statistics" ,"Number of Precincts" ,"NP" ,"Total" ,442 ,
"Race Statistics" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,442 ,
"US REPRESENTATIVE" ,"Number of Precincts for Race" ,"NP" ,"Total" ,442 ,
"US REPRESENTATIVE" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,442 ,
"US REPRESENTATIVE" ,"Registered Voters" ,"NP" ,"Total" ,571851 ,
"US REPRESENTATIVE" ,"Times Counted" ,"NP" ,"Total" ,285009 ,
"US REPRESENTATIVE" ,"Galvin, Alyse S." ,"DEM" ,"Total" ,131199 ,
"US REPRESENTATIVE" ,"Young, Don" ,"REP" ,"Total" ,149779 ,
"US REPRESENTATIVE" ,"Write-in" ,"NP" ,"Total" ,1188 ,
"GOVERNOR/LT. GOVERNOR" ,"Number of Precincts for Race" ,"NP" ,"Total" ,441 ,
"GOVERNOR/LT. GOVERNOR" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,441 ,
"GOVERNOR/LT. GOVERNOR" ,"Registered Voters" ,"NP" ,"Total" ,571320 ,
"GOVERNOR/LT. GOVERNOR" ,"Times Counted" ,"NP" ,"Total" ,284891 ,
"GOVERNOR/LT. GOVERNOR" ,"Begich/Call" ,"DEM" ,"Total" ,125739 ,
"GOVERNOR/LT. GOVERNOR" ,"Dunleavy/Meyer" ,"REP" ,"Total" ,145631 ,
"GOVERNOR/LT. GOVERNOR" ,"Toien/Clift" ,"LIB" ,"Total" ,5402 ,
"GOVERNOR/LT. GOVERNOR" ,"Walker/Mallott" ,"NA" ,"Total" ,5757 ,
"GOVERNOR/LT. GOVERNOR" ,"Write-in" ,"NP" ,"Total" ,605 ,
"SENATE DISTRICT A" ,"Number of Precincts for Race" ,"NP" ,"Total" ,13 ,
"SENATE DISTRICT A" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,13 ,
"SENATE DISTRICT A" ,"Registered Voters" ,"NP" ,"Total" ,24772 ,
"SENATE DISTRICT A" ,"Times Counted" ,"NP" ,"Total" ,9089 ,
"SENATE DISTRICT A" ,"Kawasaki, Scott" ,"DEM" ,"Total" ,4577 ,
"SENATE DISTRICT A" ,"Kelly, Pete" ,"REP" ,"Total" ,4398 ,
"SENATE DISTRICT A" ,"Write-in" ,"NP" ,"Total" ,37 ,
"SENATE DISTRICT C" ,"Number of Precincts for Race" ,"NP" ,"Total" ,42 ,
"SENATE DISTRICT C" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,42 ,
"SENATE DISTRICT C" ,"Registered Voters" ,"NP" ,"Total" ,28540 ,
"SENATE DISTRICT C" ,"Times Counted" ,"NP" ,"Total" ,13700 ,
"SENATE DISTRICT C" ,"Bishop, Click" ,"REP" ,"Total" ,10030 ,
"SENATE DISTRICT C" ,"Write-in" ,"NP" ,"Total" ,866 ,
"SENATE DISTRICT E" ,"Number of Precincts for Race" ,"NP" ,"Total" ,22 ,
"SENATE DISTRICT E" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,22 ,
"SENATE DISTRICT E" ,"Registered Voters" ,"NP" ,"Total" ,31776 ,
"SENATE DISTRICT E" ,"Times Counted" ,"NP" ,"Total" ,15996 ,
"SENATE DISTRICT E" ,"Kay, Susan" ,"DEM" ,"Total" ,3992 ,
"SENATE DISTRICT E" ,"Shower, Michael K." ,"REP" ,"Total" ,11558 ,
"SENATE DISTRICT E" ,"Write-in" ,"NP" ,"Total" ,48 ,
